Dates,EMB US Equity,GLD US Equity,TLT US Equity,IYR US Equity,IGIB US Equity,IJH US Equity
2011/1/20,0.029714665,0.722585545,0.040763634,0.038698382,0.03952157,0.128716204
2011/1/21,0.029331571,0.724671262,0.041686438,0.038388691,0.039137278,0.126784761
2011/1/24,0.029776505,0.720117616,0.042016715,0.039508338,0.039585885,0.128994941
2011/1/25,0.030291918,0.713520896,0.043182433,0.040532179,0.040932744,0.13153983
2011/1/26,0.030098188,0.714868143,0.042264181,0.040122798,0.040609562,0.132037128
2011/1/27,0.030789613,0.707195035,0.043542925,0.041882823,0.04133055,0.135259054
2011/1/28,0.030276584,0.71208344,0.043986341,0.040416224,0.041694829,0.131542582
2011/1/31,0.030254819,0.710287412,0.042829951,0.042310498,0.0417652,0.132552119
2011/2/1,0.030036866,0.710020154,0.04336544,0.040860129,0.04189059,0.133826821
2011/2/2,0.030159885,0.710083452,0.041302161,0.041882452,0.041958944,0.134613106
2011/2/3,0.029760741,0.713127508,0.040640213,0.041034428,0.041382813,0.134054297
2011/2/4,0.029901895,0.717924263,0.038033525,0.035960654,0.04160745,0.136572213
2011/2/7,0.02957707,0.712737143,0.037709812,0.042001699,0.041140808,0.136833468
2011/2/8,0.029443513,0.714960089,0.036608754,0.041709974,0.040733082,0.136544588
2011/2/9,0.029631053,0.714547015,0.036515333,0.042114126,0.040640346,0.136552128
2011/2/10,0.029547468,0.712595094,0.036550174,0.04341141,0.040506423,0.137389431
2011/2/11,0.029593385,0.709850649,0.036843236,0.044083123,0.040654752,0.138974855
2011/2/14,0.029274837,0.71056401,0.03720517,0.043361913,0.040549845,0.139044225
2011/2/15,0.029124243,0.711656217,0.038373913,0.042382652,0.040337648,0.138125327
2011/2/16,0.029223218,0.713331628,0.038303003,0.039042418,0.040447252,0.139652481
2011/2/17,0.029235201,0.714251803,0.037674036,0.038872989,0.040317189,0.139648781
2011/2/18,0.02929771,0.715233045,0.037533279,0.038061478,0.040326571,0.139547917
2011/2/21,0.02929771,0.715233045,0.037533279,0.038061478,0.040326571,0.139547917
2011/2/22,0.029341517,0.71572933,0.03778882,0.038073899,0.040421906,0.138644527
2011/2/23,0.029141804,0.717973179,0.038656202,0.038277681,0.040103816,0.135847318
2011/2/24,0.029376306,0.713643887,0.040255542,0.039022185,0.040919505,0.136782575
2011/2/25,0.029219642,0.714011571,0.035080808,0.042606065,0.040381114,0.1387008
2011/2/28,0.029167999,0.713288005,0.034797768,0.043583308,0.040317284,0.138845638
2011/3/1,0.028701702,0.716683124,0.038507736,0.041702487,0.039699771,0.13470518
2011/3/2,0.028864257,0.719131903,0.03760729,0.038569406,0.039882671,0.135944474
2011/3/3,0.029021626,0.713610839,0.03709247,0.040181837,0.039955959,0.14013727
2011/3/4,0.029017247,0.716403426,0.036623153,0.039516953,0.039855309,0.138583912
2011/3/7,0.02889191,0.717457837,0.037532464,0.040719909,0.039585924,0.135811956
2011/3/8,0.02906291,0.714788139,0.03771983,0.040917067,0.039536997,0.137975057
2011/3/9,0.029075064,0.715208864,0.037978716,0.040644351,0.03962853,0.137464475
2011/3/10,0.029394159,0.715064422,0.038951025,0.039502525,0.040453645,0.136634223
2011/3/11,0.029340217,0.714565939,0.038751893,0.039659894,0.04050621,0.137175847
2011/3/14,0.02918586,0.714846107,0.039335969,0.039923609,0.040566719,0.136141736
2011/3/15,0.029659822,0.713244478,0.039285141,0.038926994,0.041237207,0.137646359
2011/3/16,0.029786416,0.715272583,0.039579171,0.037866217,0.041511445,0.135984167
2011/3/17,0.029745169,0.71471854,0.039521104,0.038739565,0.041396589,0.135879034
2011/3/18,0.029363737,0.717825019,0.03850449,0.038453665,0.040823561,0.135029528
2011/3/21,0.02938763,0.713186442,0.038269233,0.040442433,0.040546174,0.138168089
2011/3/22,0.029430771,0.713305062,0.038815292,0.040216263,0.040647893,0.137584718
2011/3/23,0.029248948,0.714600553,0.039781123,0.039691977,0.040309392,0.136368006
2011/3/24,0.02954681,0.711681567,0.039666781,0.040063495,0.040452159,0.138589189
2011/3/25,0.029547794,0.712377944,0.039006208,0.039204766,0.040430378,0.139432909
2011/3/28,0.029891167,0.711992187,0.039074137,0.038112297,0.040698393,0.14023182
2011/3/29,0.029917172,0.711581978,0.037899235,0.038014349,0.040884726,0.141702539
2011/3/30,0.02971371,0.709094534,0.038177936,0.039781518,0.040818822,0.14241348
2011/3/31,0.029796922,0.715682195,0.029878448,0.040126688,0.041029621,0.143486127
2011/4/1,0.029634196,0.703622844,0.037354615,0.040899662,0.040807734,0.147680949
2011/4/4,0.030296767,0.703956114,0.036776042,0.040547391,0.040709685,0.147714
2011/4/5,0.029960028,0.706607895,0.037178885,0.039379575,0.040270032,0.146603584
2011/4/6,0.03036887,0.705622366,0.03681816,0.039417486,0.040436858,0.147336259
2011/4/7,0.030593511,0.707987619,0.037138546,0.038420466,0.040514496,0.145345361
2011/4/8,0.030543023,0.710587909,0.03678021,0.038183247,0.040558661,0.14334695
2011/4/11,0.030709831,0.711459336,0.03522085,0.038246219,0.040856082,0.143507682
2011/4/12,0.031019716,0.710925044,0.035290229,0.038299281,0.041301949,0.14316378
2011/4/13,0.031026526,0.709849297,0.035368123,0.038513332,0.041389716,0.143853007
2011/4/14,0.030721158,0.712254491,0.034650165,0.039269138,0.040754715,0.142350332
2011/4/15,0.030630199,0.715958389,0.032567729,0.039091101,0.040304231,0.14144835
2011/4/18,0.030536527,0.719044214,0.032359114,0.039281886,0.040271842,0.138506418
2011/4/19,0.030421671,0.717018548,0.033447871,0.040334565,0.040279083,0.138498263
2011/4/20,0.030353143,0.716113346,0.033061629,0.039576505,0.040018921,0.140876456
2011/4/21,0.030564411,0.714383672,0.033916424,0.040117883,0.039887915,0.141129696
2011/4/22,0.030564411,0.714383672,0.033916424,0.040117883,0.039887915,0.141129696
2011/4/25,0.030598107,0.714345359,0.03367811,0.040278544,0.040060669,0.141039211
2011/4/26,0.030545709,0.709480467,0.035007692,0.041800316,0.039894819,0.143270998
2011/4/27,0.030171564,0.713090437,0.034605677,0.041515919,0.039406441,0.141209961
2011/4/28,0.030309271,0.714322257,0.034785943,0.041510712,0.039414566,0.139657252
2011/4/29,0.030908948,0.721636754,0.025557082,0.042052758,0.039423264,0.140421193
2011/5/2,0.030799702,0.713419438,0.033633593,0.042580556,0.039403631,0.140163079
2011/5/3,0.031443238,0.712232824,0.035804217,0.041061453,0.039659272,0.139798996
2011/5/4,0.031863957,0.708370098,0.037214198,0.042749468,0.040448282,0.139353996
2011/5/5,0.032706742,0.699857013,0.039167989,0.044365761,0.041484463,0.142418032
2011/5/6,0.032495475,0.702112385,0.038263545,0.044266536,0.041220476,0.141641582
2011/5/9,0.032271322,0.70305852,0.037829828,0.044056957,0.040986054,0.14179732
2011/5/10,0.032176866,0.701038447,0.037544818,0.045942199,0.040719051,0.142578619
2011/5/11,0.032414563,0.699385591,0.038392015,0.046556263,0.041127287,0.14212428
2011/5/12,0.032526943,0.697250088,0.038726419,0.047031068,0.041208361,0.143257121
2011/5/13,0.032867804,0.697084845,0.038659548,0.046933746,0.041571732,0.142882325
2011/5/16,0.032974414,0.698033083,0.039231121,0.045961899,0.041765116,0.142034367
2011/5/17,0.03323306,0.699752223,0.039072382,0.043700487,0.042406029,0.141835818
2011/5/18,0.033376024,0.699029615,0.038665956,0.043916053,0.041990753,0.1430216
2011/5/19,0.033305101,0.698298278,0.039177303,0.043940422,0.041971673,0.143307223
2011/5/20,0.03292841,0.704830339,0.037921596,0.042342624,0.041505242,0.140471788
2011/5/23,0.032643141,0.707612449,0.037812833,0.043008563,0.04137457,0.137548444
2011/5/24,0.032390455,0.708986883,0.037692538,0.043451863,0.041215939,0.136262323
2011/5/25,0.032439013,0.708953494,0.037516807,0.042544908,0.041050885,0.137494892
2011/5/26,0.032372199,0.707672183,0.036940976,0.043050725,0.041199007,0.13876491
2011/5/27,0.03214009,0.707838578,0.036596655,0.043253847,0.040954894,0.139215935
2011/5/30,0.03214009,0.707838578,0.036596655,0.043253847,0.040954894,0.139215935
2011/5/31,0.032593507,0.705558737,0.036992437,0.044048579,0.040898963,0.139907778
2011/6/1,0.032606699,0.708685594,0.038196031,0.0428803,0.041071949,0.136559426
2011/6/2,0.032704943,0.708617368,0.038021588,0.042927045,0.041192236,0.136536821
2011/6/3,0.032719178,0.709676116,0.039023683,0.043407664,0.040987079,0.13418628
2011/6/6,0.032850458,0.713036128,0.038277834,0.042844833,0.041079301,0.131911447
2011/6/7,0.033269013,0.713110589,0.038359561,0.042264555,0.040742285,0.132253996
2011/6/8,0.033721824,0.712698798,0.038477625,0.042529167,0.040972465,0.131600121
2011/6/9,0.033728393,0.715617395,0.037714669,0.04020951,0.040859024,0.131871009
2011/6/10,0.034498791,0.717028911,0.038519709,0.03577717,0.041717234,0.132458185
2011/6/13,0.034740141,0.714521699,0.038482513,0.036817432,0.042016765,0.13342145
2011/6/14,0.034431209,0.712810214,0.037350948,0.039098019,0.041637606,0.134672004
2011/6/15,0.03499829,0.716431075,0.036813863,0.037289934,0.041685244,0.132781595
2011/6/16,0.034846317,0.714187281,0.036784329,0.04007631,0.041678161,0.132427604
2011/6/17,0.034453164,0.716444832,0.035866023,0.041011131,0.041284719,0.130940133
2011/6/20,0.034340008,0.71478632,0.035805842,0.042293704,0.041110694,0.131663432
2011/6/21,0.034355745,0.713772386,0.034507073,0.043047318,0.040988544,0.133328934
2011/6/22,0.034369231,0.71468212,0.034175816,0.043123656,0.040951603,0.132697574
2011/6/23,0.034799957,0.711520415,0.034897837,0.042648129,0.041826853,0.134306807
2011/6/24,0.035282043,0.709842007,0.034925802,0.042716129,0.042352954,0.134881065
2011/6/27,0.03540301,0.708000525,0.035297781,0.043381515,0.042325574,0.135591594
2011/6/28,0.035572983,0.706310214,0.035267866,0.043845401,0.041900766,0.137102769
2011/6/29,0.035347149,0.706260382,0.034720174,0.04465811,0.041591375,0.137422811
2011/6/30,0.03566244,0.703138375,0.034904037,0.045862876,0.041730506,0.138701765
2011/7/1,0.036096756,0.698145023,0.035374674,0.047197918,0.041796404,0.141389225
2011/7/4,0.036096756,0.698145023,0.035374674,0.047197918,0.041796404,0.141389225
2011/7/5,0.035723069,0.701414182,0.03474441,0.046286705,0.041672295,0.14015934
2011/7/6,0.035366545,0.702042732,0.035435402,0.045512887,0.041399572,0.140242862
2011/7/7,0.035304386,0.700010465,0.035282206,0.046916071,0.041199718,0.141287154
2011/7/8,0.035456503,0.70185661,0.035277074,0.046605884,0.041182734,0.139621196
2011/7/11,0.035332072,0.704630457,0.035629687,0.045503686,0.042516434,0.136387665
2011/7/12,0.034522417,0.709186984,0.035233209,0.045386557,0.042162051,0.133508781
2011/7/13,0.034370121,0.710297226,0.0354049,0.044987967,0.041977413,0.132962373
2011/7/14,0.034513682,0.712955051,0.034063294,0.045125984,0.042056317,0.131285671
2011/7/15,0.03451251,0.715481783,0.033259351,0.044640518,0.041731172,0.130374666
2011/7/18,0.034231518,0.723908639,0.031079477,0.044099197,0.04131049,0.12537068
2011/7/19,0.034475452,0.719439989,0.030134911,0.045117691,0.041834089,0.128997868
2011/7/20,0.034375835,0.720689206,0.030541395,0.044891844,0.041654464,0.127847255
2011/7/21,0.0345341,0.716366861,0.032265718,0.045482151,0.041756909,0.12959426
2011/7/22,0.034740342,0.717292733,0.032090716,0.045182222,0.041670315,0.129023672
2011/7/25,0.035353559,0.721119364,0.031449344,0.042928354,0.041494345,0.127655034
2011/7/26,0.035624463,0.721961825,0.031721985,0.04241025,0.041630715,0.126650762
2011/7/27,0.036076259,0.72553749,0.032136986,0.040813162,0.041775958,0.123660144
2011/7/28,0.036059526,0.733265678,0.031676214,0.039986022,0.041788014,0.117224547
2011/7/29,0.036041367,0.733849576,0.032006394,0.040377964,0.041746339,0.11597836
2011/8/1,0.03741638,0.735085392,0.030189387,0.039488324,0.041928878,0.11589164
2011/8/2,0.037022494,0.745635924,0.030363249,0.036226143,0.041119492,0.109632698
2011/8/3,0.03715137,0.746088917,0.030782473,0.035902057,0.041029367,0.109045816
2011/8/4,0.037485404,0.752465618,0.03104144,0.03388615,0.04154524,0.103576147
